id	scope
1cqx.HEM_A_404_lipidbindingprotein_3.8.1.5	a.1.1.2
1cqx.FAD_A_405_lipidbindingprotein_1.5.3.6	a.1.1.2
1cqx.HEM_B_404_lipidbindingprotein_3.8.1.5	a.1.1.2
1cqx.FAD_B_405_lipidbindingprotein_1.5.3.6	a.1.1.2
1gvh.HEM_A_1398_oxidoreductase_1.6.99.7	a.1.1.2
1gvh.FAD_A_1397_oxidoreductase_1.6.99.7	a.1.1.2
4hrr.HEM_A_201_oxygentransport_2.7.10.1	a.1.1.2
4hrr.HEM_C_201_oxygentransport_2.7.10.1	a.1.1.2
4hrr.HEM_E_201_oxygentransport_2.7.10.1	a.1.1.2
4hrr.HEM_G_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_A_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_C_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_E_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_G_201_oxygentransport_2.7.10.1	a.1.1.2
3ciu.HEM_A_142_oxygenbinding_1.3.99.1	a.1.1.2
3ciu.HEM_C_142_oxygenbinding_1.3.99.1	a.1.1.2
3ciu.HEM_C_142_oxygenbinding_1.3.99.1	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_284_oxygentransport_3.6.1.34	a.1.1.2
1abw.HEM_A_285_oxygentransport_3.6.1.34	a.1.1.2
1aby.HEM_A_286_oxygentransport_3.6.1.34	a.1.1.2
1aby.HEM_A_287_oxygentransport_3.6.1.34	a.1.1.2
1aby.HEM_A_287_oxygentransport_3.6.1.34	a.1.1.2
1aby.HEM_A_286_oxygentransport_3.6.1.34	a.1.1.2
1aby.HEM_A_287_oxygentransport_3.6.1.34	a.1.1.2
3ciu.HEM_B_147_oxygenbinding_1.3.99.1	a.1.1.2
3ciu.HEM_D_147_oxygenbinding_1.3.99.1	a.1.1.2
2qls.HEM_B_147_transportprotein_2.6.1.7	a.1.1.2
2qls.HEM_D_147_transportprotein_2.6.1.7	a.1.1.2
2qls.HEM_D_147_transportprotein_2.6.1.7	a.1.1.2
2qls.HEM_D_147_transportprotein_2.6.1.7	a.1.1.2
2qls.HEM_D_147_transportprotein_2.6.1.7	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2jho.HEM_A_1154_oxygentransport_3.2.2.21	a.1.1.2
2bwh.HEM_A_1154_oxygentransport_1.7.1.7	a.1.1.2
4hrt.HEM_B_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_D_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_F_201_oxygentransport_2.7.10.1	a.1.1.2
4hrt.HEM_H_201_oxygentransport_2.7.10.1	a.1.1.2
4mqj.HEM_B_201_oxygentransport_2.7.4.9	a.1.1.2
4mqj.HEM_F_201_oxygentransport_2.7.4.9	a.1.1.2
4mqj.HEM_H_201_oxygentransport_2.7.4.9	a.1.1.2
4mqj.HEM_H_201_oxygentransport_2.7.4.9	a.1.1.3
4mqj.HEM_H_201_oxygentransport_2.7.4.9	a.1.1.3
3wfw.HEM_A_201_oxygentransport_2.7.7.72	a.1.1.0
3wfx.HEM_A_201_oxygentransport_2.7.7.72	a.1.1.0
3ozu.HEM_A_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozu.FAD_A_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozw.HEM_A_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozw.FAD_A_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozw.HEM_B_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozw.FAD_B_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.HEM_A_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.FAD_A_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.HEM_B_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.FAD_B_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.HEM_B_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.FAD_B_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.HEM_B_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.FAD_B_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.HEM_B_404_lipidbindingprotein_1.14.12.17	a.1.1.0
3ozv.FAD_B_405_lipidbindingprotein_1.14.12.17	a.1.1.0
3p4p.F3S_B_245_oxidoreductase_1.3.99.1	a.1.2.1
3p4p.SF4_B_246_oxidoreductase_1.3.99.1	a.1.2.1
3p4p.SF4_N_246_oxidoreductase_1.3.99.1	a.1.2.1
3p4p.F3S_N_245_oxidoreductase_1.3.99.1	a.1.2.1
1kf6.SF4_B_246_oxidoreductase_1.3.99.1	a.1.2.1
1kf6.F3S_B_245_oxidoreductase_1.3.99.1	a.1.2.1
1kf6.F3S_N_245_oxidoreductase_1.3.99.1	a.1.2.1
1kf6.SF4_N_246_oxidoreductase_1.3.99.1	a.1.2.1
4kx6.F3S_B_302_oxidoreductase_1.3.99.1	a.1.2.1
4kx6.SF4_B_303_oxidoreductase_1.3.99.1	a.1.2.1
4kx6.SF4_N_303_oxidoreductase_1.3.99.1	a.1.2.1
4kx6.F3S_N_302_oxidoreductase_1.3.99.1	a.1.2.1
1l0v.F3S_B_245_oxidoreductase_1.3.99.1	a.1.2.1
1l0v.SF4_B_246_oxidoreductase_1.3.99.1	a.1.2.1
1l0v.F3S_N_245_oxidoreductase_1.3.99.1	a.1.2.1
1l0v.SF4_N_246_oxidoreductase_1.3.99.1	a.1.2.1
1kfy.F3S_B_245_oxidoreductase_1.3.99.1	a.1.2.1
1kfy.SF4_B_246_oxidoreductase_1.3.99.1	a.1.2.1
1kfy.F3S_N_245_oxidoreductase_1.3.99.1	a.1.2.1
1kfy.SF4_N_246_oxidoreductase_1.3.99.1	a.1.2.1
2b76.SF4_B_246_oxidoreductase_3.2.1.17	a.1.2.1
2b76.F3S_B_245_oxidoreductase_3.2.1.17	a.1.2.1
2b76.F3S_N_245_oxidoreductase_3.2.1.17	a.1.2.1
2b76.SF4_N_246_oxidoreductase_3.2.1.17	a.1.2.1
3cir.F3S_B_245_oxidoreductase_1.3.99.1	a.1.2.1
3cir.SF4_B_246_oxidoreductase_1.3.99.1	a.1.2.1
3cir.F3S_N_245_oxidoreductase_1.3.99.1	a.1.2.1
3cir.SF4_N_246_oxidoreductase_1.3.99.1	a.1.2.1
2bs3.SF4_B_1242_oxidoreductase_1.3.99.1	a.1.2.1
2bs3.F3S_B_1241_oxidoreductase_1.3.99.1	a.1.2.1
2bs3.F3S_E_1241_oxidoreductase_1.3.99.1	a.1.2.1
2bs3.SF4_E_1242_oxidoreductase_1.3.99.1	a.1.2.1
2bs3.F3S_E_1241_oxidoreductase_1.3.99.1	a.1.2.1
